candidate_id,date,code,name,industry,market_regime,eligible,market_ok,alpha_pass,entry_pass,regime_pass,sector_data_status,four_no_pass,stop_valid,rr_pass,position_neutral_sizing_feasible,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,reason_code,order_intent_id,pending_order_id,requested_shares,shares,signal_close,planned_stop,planned_target,ex_ante_rr,initial_risk_cash,stop,target,rr,reason_codes,reasons
cand_9eeec22227227f43,2026-01-05,000933,神火股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,90.000000,1.244375,91.244375,35.000000,20.000000,15.000000,20.000000,90.739583,60.000000,1,378,1,ok,intent_36ddd8c674426ba4,pend_64cd1313e6baac0c,500,500,28.470000,27.694800,31.523571,3.939076,387.600000,27.694800,31.523571,3.939076,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=6.58|rs60=34.05|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_0c7fcb81ba43826b,2026-01-05,002379,宏桥控股,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,1.244375,78.244375,35.000000,20.000000,10.000000,12.000000,90.739583,60.000000,1,881,1,ok,intent_5dda6433030aa531,pend_53c0b2acaa75739c,500,500,25.180000,24.166800,28.340714,3.119536,506.600000,24.166800,28.340714,3.119536,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=8.85|rs60=43.71|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_ff067ca99be3ba78,2026-01-05,002446,盛路通信,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.244375,88.244375,35.000000,20.000000,20.000000,12.000000,90.739583,60.000000,1,944,1,ok,intent_70209a6ae577fbac,pend_c906bf02e64725de,1200,1200,10.770000,10.290000,12.602143,3.816964,624.000000,10.290000,12.602143,3.816964,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=19.18|rs60=24.33|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_93f34050f31dd0aa,2026-01-06,000426,兴业银锡,采矿业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,1.564397,88.564397,35.000000,20.000000,20.000000,12.000000,96.073275,60.000000,1,85,1,ok,intent_3868083e280d3f0c,pend_1bb327036788f457,300,300,40.290000,38.122000,46.675714,2.945440,650.400000,38.122000,46.675714,2.945440,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=9.06|rs60=7.23|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_e95f08f448f56efe,2026-01-06,000603,盛达资源,采矿业,BULL,1,1,1,1,1,mapped,1,1,1,1,80.000000,1.564397,81.564397,35.000000,20.000000,20.000000,5.000000,96.073275,60.000000,1,167,1,ok,intent_e89bf6c8b1007c94,pend_e620ed56bf5f2367,400,400,33.960000,31.791200,40.287857,2.917677,867.520000,31.791200,40.287857,2.917677,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=18.28|rs60=20.86|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_c16bcfd86f9e9cc5,2026-01-13,601100,恒立液压,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,0.682149,87.682149,35.000000,20.000000,20.000000,12.000000,81.369146,60.000000,1,3715,1,ok,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,100,120.290000,116.051600,136.770000,3.888260,423.840000,116.051600,136.770000,3.888260,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=5.08|rs60=29.27|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_6215266782bf8ea7,2026-01-13,601212,白银有色,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,82.000000,0.682149,82.682149,40.000000,10.000000,20.000000,12.000000,81.369146,60.000000,1,3752,1,ok,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,2500,2500,6.550000,6.164200,7.675000,2.916019,848.760000,6.164200,7.675000,2.916019,ok,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=24.00|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_c0fb99f296f3f6f7,2026-01-15,002281,光迅科技,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,87.000000,0.838491,87.838491,35.000000,20.000000,20.000000,12.000000,83.974856,60.000000,1,788,1,ok,intent_b8c3fcf8413f765c,pend_4de22cc44849438b,100,100,78.500000,75.166000,89.570000,3.320336,333.400000,75.166000,89.570000,3.320336,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=20.26|rs60=24.69|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_235d13b697e8cbfa,2026-01-15,600650,锦江在线,交通运输、仓储和邮政业,BULL,1,1,1,1,1,fallback,1,1,1,1,75.000000,0.000000,75.000000,25.000000,20.000000,10.000000,20.000000,0.000000,60.000000,1,3408,1,ok,intent_b3e451c7af22e7d9,pend_eebe831f91bec89a,900,900,17.120000,16.718800,19.020714,4.737573,320.960000,16.718800,19.020714,4.737573,ok,MA20>MA60|close>MA20|rs20=1.49|rs60=4.90|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_e03c76c3af51b7ed,2026-01-16,002560,通达股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,77.000000,1.144672,78.144672,35.000000,20.000000,10.000000,12.000000,89.077866,60.000000,1,1046,1,ok,intent_c0507feb39282ed0,pend_25ba707d0f3f531e,100,100,11.030000,10.368400,12.390714,2.056702,860.080000,10.368400,12.390714,2.056702,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=15.80|rs60=30.18|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
