decision_date,code,side,reason,candidate_id,order_intent_id,pending_order_id,requested_shares,shares,signal_date,signal_regime,signal_close,planned_stop,planned_target,rr,initial_risk_cash
2026-01-05,000933,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_9eeec22227227f43,intent_36ddd8c674426ba4,pend_64cd1313e6baac0c,500,500,2026-01-05,BULL,28.470000,27.694800,31.523571,3.939076,387.600000
2026-01-05,002379,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_0c7fcb81ba43826b,intent_5dda6433030aa531,pend_53c0b2acaa75739c,500,500,2026-01-05,BULL,25.180000,24.166800,28.340714,3.119536,506.600000
2026-01-05,002446,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_ff067ca99be3ba78,intent_70209a6ae577fbac,pend_c906bf02e64725de,1200,1200,2026-01-05,BULL,10.770000,10.290000,12.602143,3.816964,576.000000
2026-01-06,000426,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_93f34050f31dd0aa,intent_3868083e280d3f0c,pend_1bb327036788f457,300,300,2026-01-06,BULL,40.290000,38.122000,46.675714,2.945440,650.400000
2026-01-06,000603,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_e95f08f448f56efe,intent_e89bf6c8b1007c94,pend_e620ed56bf5f2367,400,400,2026-01-06,BULL,33.960000,31.791200,40.287857,2.917677,867.520000
2026-01-07,000426,add,pyramid_add,cand_93f34050f31dd0aa,intent_6f315c3cf65ffe35,pend_e8771a2e651dd2da,100,100,2026-01-07,BULL,42.140000,39.935000,48.804286,3.022352,220.500000
2026-01-12,002379,sell,target_close_confirmed,cand_0c7fcb81ba43826b,intent_3c9f96ed6a38537d,pend_3c9f96ed6a38537d,500,500,2026-01-12,BULL,28.370000,25.823000,28.340714,0.000000,723.000000
2026-01-12,002446,sell,target_close_confirmed,cand_ff067ca99be3ba78,intent_e679e4e77d23613c,pend_e679e4e77d23613c,1200,1200,2026-01-12,BULL,13.370000,11.988571,12.602143,0.000000,402.372000
2026-01-13,601100,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_c16bcfd86f9e9cc5,intent_9533a159d8298a8a,pend_ac917c2656dc8ef8,100,100,2026-01-13,BULL,120.290000,116.051600,136.770000,3.888260,423.840000
2026-01-13,601212,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_6215266782bf8ea7,intent_9b8f4825756334ba,pend_83c4b9311d1bb57f,2500,2500,2026-01-13,BULL,6.550000,6.164200,7.675000,2.916019,964.500000
2026-01-14,000426,sell,target_close_confirmed,cand_93f34050f31dd0aa,intent_578f97a031fa9e45,pend_578f97a031fa9e45,400,400,2026-01-14,BULL,50.380000,45.024286,48.804286,0.000000,869.550000
2026-01-14,000603,sell,target_close_confirmed,cand_e95f08f448f56efe,intent_85e7ade0e41c5875,pend_85e7ade0e41c5875,300,300,2026-01-14,BULL,40.920000,36.317143,40.287857,0.000000,760.786500
2026-01-14,601100,sell,close_stop,cand_c16bcfd86f9e9cc5,intent_c9be20ae4f51b4e3,pend_c9be20ae4f51b4e3,100,100,2026-01-14,BULL,114.200000,116.051600,136.770000,0.000000,376.828000
2026-01-15,601212,add,pyramid_add,cand_6215266782bf8ea7,intent_344da1324e63cb3b,pend_19788577ea63790c,700,700,2026-01-15,BULL,7.160000,6.644400,8.422143,2.447911,360.920000
2026-01-15,002281,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_c0fb99f296f3f6f7,intent_b8c3fcf8413f765c,pend_4de22cc44849438b,100,100,2026-01-15,BULL,78.500000,75.166000,89.570000,3.320336,333.400000
2026-01-15,600650,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_235d13b697e8cbfa,intent_b3e451c7af22e7d9,pend_eebe831f91bec89a,900,900,2026-01-15,BULL,17.120000,16.718800,19.020714,4.737573,361.080000
2026-01-16,600650,sell,close_stop,cand_235d13b697e8cbfa,intent_3de566bf17f1dda3,pend_3de566bf17f1dda3,900,900,2026-01-16,BULL,16.430000,16.718800,19.020714,0.000000,152.676000
2026-01-16,002560,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_e03c76c3af51b7ed,intent_c0507feb39282ed0,pend_25ba707d0f3f531e,100,100,2026-01-16,BULL,11.030000,10.368400,12.390714,2.056702,66.160000
2026-01-19,000933,sell,target_close_confirmed,cand_9eeec22227227f43,intent_d1225b30e454ecba,pend_d1225b30e454ecba,500,500,2026-01-19,BULL,31.750000,30.421000,31.523571,0.000000,814.927500
2026-01-19,002281,sell,close_stop,cand_c0fb99f296f3f6f7,intent_61ee4c69ab190135,pend_61ee4c69ab190135,100,100,2026-01-19,BULL,72.860000,75.166000,89.570000,0.000000,287.300000
2026-01-19,688291,buy,strategy_v5_alpha_first_fit_frozen_entry,cand_3e44707f24f3c5ab,intent_05bd812f06e005b9,pend_54cb02557f55f770,200,200,2026-01-19,BULL,51.050000,46.550000,63.789286,2.830952,900.000000
